scrape_datetime,base_url,category,product_url,product_name,catalog_code,stock_code,availability,buying_option,price
2025-02-27 14:04:40,https://www.cityelectricsupply.com/tffn-building-wire,TFFN Wire,https://www.cityelectricsupply.com/tffn-16-str-red-cu-500-16awg-stranded-tffn-wire-copper-red-1-conductor-reel-of-500ft,"TFFN-16-STR-RED-CU-500, 16AWG, Stranded, TFFN Wire, Copper, Red, 1 Conductor, Reel of 500ft",TFFN-16-STR-RED-CU-500,0041-6283,Available: (5500 Feet),Reel of 500 Feet,$99.99 per 1000
2025-02-27 14:04:40,https://www.cityelectricsupply.com/tffn-building-wire,TFFN Wire,https://www.cityelectricsupply.com/tffn-16-str-blk-cu-500-16-awg-26-strands-tffn-wire-copper-black-single-conductor-reel-of-500-feet,"TFFN-16-STR-BLK-CU-500, 16 AWG, 26 Strands, TFFN Wire, Copper, Black, Single Conductor, Reel of 500 feet",TFFN-16-STR-BLK-CU-500,0041-6271,Available: (14500 Feet),Reel of 500 Feet,$99.99 per 1000
2025-02-27 14:04:40,https://www.cityelectricsupply.com/tffn-building-wire,TFFN Wire,https://www.cityelectricsupply.com/tffn-16-str-blu-cu-500-16-awg-26-strands-tffn-wire-copper-blue-single-conductor-reel-of-500-feet,"TFFN-16-STR-BLU-CU-500, 16 AWG, 26 Strands, TFFN Wire, Copper, Blue, Single Conductor, Reel of 500 feet",TFFN-16-STR-BLU-CU-500,0041-6289,Available: (30000 Feet),Reel of 500 Feet,$99.99 per 1000
2025-02-27 14:04:40,https://www.cityelectricsupply.com/tffn-building-wire,TFFN Wire,https://www.cityelectricsupply.com/tffn-16-str-wht-cu-500-16awg-stranded-tffn-wire-copper-white-1-conductor-reel-of-500ft,"TFFN-16-STR-WHT-CU-500, 16AWG, Stranded, TFFN Wire, Copper, White, 1 Conductor, Reel of 500ft",TFFN-16-STR-WHT-CU-500,0041-6277,Available: (23000 Feet),Reel of 500 Feet,$99.99 per 1000
2025-02-27 14:04:40,https://www.cityelectricsupply.com/tffn-building-wire,TFFN Wire,https://www.cityelectricsupply.com/tffn-16-str-pur-cu-500-16awg-26-strands-tffn-wire-copper-purple-1-conductor-reel-of-500ft,"TFFN-16-STR-PUR-CU-500, 16AWG, 26 Strands, TFFN Wire, Copper, Purple, 1 Conductor, Reel of 500ft",TFFN-16-STR-PUR-CU-500,0041-6319,Available: (0 Feet),Reel of 500 Feet,$99.99 per 1000
2025-02-27 14:04:40,https://www.cityelectricsupply.com/tffn-building-wire,TFFN Wire,https://www.cityelectricsupply.com/tffn-16-str-yel-cu-500-16awg-stranded-tffn-wire-copper-yellow-1-conductor-reel-of-500ft,"TFFN-16-STR-YEL-CU-500, 16AWG, Stranded, TFFN Wire, Copper, Yellow, 1 Conductor, Reel of 500ft",TFFN-16-STR-YEL-CU-500,0041-6295,Available: (7500 Feet),Reel of 500 Feet,$99.99 per 1000
2025-02-27 14:04:40,https://www.cityelectricsupply.com/tffn-building-wire,TFFN Wire,https://www.cityelectricsupply.com/tffn-16-str-gry-cu-500-16awg-26-strands-tffn-wire-copper-gray-1-conductor-reel-of-500ft,"TFFN-16-STR-GRY-CU-500, 16AWG, 26 Strands, TFFN Wire, Copper, Gray, 1 Conductor, Reel of 500ft",TFFN-16-STR-GRY-CU-500,0041-6325,Available: (12000 Feet),Reel of 500 Feet,$99.99 per 1000
2025-02-27 14:04:40,https://www.cityelectricsupply.com/tffn-building-wire,TFFN Wire,https://www.cityelectricsupply.com/tffn-16-str-grn-cu-500-16-awg-26-strands-tffn-wire-copper-green-single-conductor-reel-of-500-feet,"TFFN-16-STR-GRN-CU-500, 16 AWG, 26 Strands, TFFN Wire, Copper, Green, Single Conductor, Reel of 500 feet",TFFN-16-STR-GRN-CU-500,0041-6301,Available: (16500 Feet),Reel of 500 Feet,$99.99 per 1000
2025-02-27 14:04:40,https://www.cityelectricsupply.com/tffn-building-wire,TFFN Wire,https://www.cityelectricsupply.com/tffn-16-str-pnk-cu-500-16awg-stranded-tffn-wire-copper-pink-1-conductor-reel-of-500ft,"TFFN-16-STR-PNK-CU-500, 16AWG, Stranded, TFFN Wire, Copper, Pink, 1 Conductor, Reel of 500ft",TFFN-16-STR-PNK-CU-500,0041-6331,Available: (5000 Feet),Reel of 500 Feet,$99.99 per 1000
2025-02-27 14:04:40,https://www.cityelectricsupply.com/tffn-building-wire,TFFN Wire,https://www.cityelectricsupply.com/tffn-18-str-blu-cu-500-18awg-stranded-tffn-wire-copper-blue-1-conductor-reel-of-500ft,"TFFN-18-STR-BLU-CU-500, 18AWG, Stranded, TFFN Wire, Copper, Blue, 1 Conductor, Reel of 500ft",TFFN-18-STR-BLU-CU-500,0041-6220,Available: (0 Feet),Reel of 500 Feet,$71.44 per 1000
