"scrape_datetime","instrument_type","date","number_of_trades","volume","notional_turnover","premium_turnover"
"2025-03-28T07:29:11.687729Z","Index Futures","01-01-2025","631","1008","81.80","0.00"
"2025-03-28T07:29:11.687729Z","Index Futures","02-01-2025","1089","2059","186.06","0.00"
"2025-03-28T07:29:11.688728Z","Index Futures","03-01-2025","3315","8208","752.42","0.00"
"2025-03-28T07:29:11.688728Z","Index Futures","06-01-2025","1439","2490","354.40","0.00"
"2025-03-28T07:29:11.688728Z","Index Futures","07-01-2025","1718","3174","471.47","0.00"
"2025-03-28T07:29:11.688728Z","Index Futures","08-01-2025","1046","1739","239.67","0.00"
"2025-03-28T07:29:11.689725Z","Index Futures","09-01-2025","913","1395","202.41","0.00"
"2025-03-28T07:29:11.689725Z","Index Futures","10-01-2025","999","1566","218.84","0.00"
"2025-03-28T07:29:11.689725Z","Index Futures","13-01-2025","934","1575","215.15","0.00"
"2025-03-28T07:29:11.689725Z","Index Futures","14-01-2025","1629","2977","434.85","0.00"
"2025-03-28T07:29:11.690721Z","Index Futures","15-01-2025","432","607","74.12","0.00"
"2025-03-28T07:29:11.690721Z","Index Futures","16-01-2025","349","541","70.05","0.00"
"2025-03-28T07:29:11.690721Z","Index Futures","17-01-2025","527","792","94.60","0.00"
"2025-03-28T07:29:11.690721Z","Index Futures","20-01-2025","800","1510","164.42","0.00"
"2025-03-28T07:29:11.691718Z","Index Futures","21-01-2025","3760","7700","957.89","0.00"
"2025-03-28T07:29:11.691718Z","Index Futures","22-01-2025","880","1647","126.53","0.00"
"2025-03-28T07:29:11.691718Z","Index Futures","23-01-2025","423","735","58.31","0.00"
"2025-03-28T07:29:11.691718Z","Index Futures","24-01-2025","810","1339","110.48","0.00"
"2025-03-28T07:29:11.691718Z","Index Futures","27-01-2025","1153","2106","182.65","0.00"
"2025-03-28T07:29:11.692716Z","Index Futures","28-01-2025","2392","4794","434.09","0.00"
"2025-03-28T07:29:11.692716Z","Index Futures","29-01-2025","297","416","63.73","0.00"
"2025-03-28T07:29:11.692716Z","Index Futures","30-01-2025","387","582","89.66","0.00"
"2025-03-28T07:29:11.692716Z","Index Futures","31-01-2025","892","1252","193.89","0.00"
"2025-03-28T07:29:11.693712Z","Index Futures","01-02-2025","1364","1784","277.34","0.00"
"2025-03-28T07:29:12.339346Z","Index Options","01-01-2025","5377371","17655739","1399879.36","4662.06"
"2025-03-28T07:29:12.340343Z","Index Options","02-01-2025","9480763","34326655","2753262.21","6299.96"
"2025-03-28T07:29:12.340343Z","Index Options","03-01-2025","79656080","539717166","43098063.89","27402.89"
"2025-03-28T07:29:12.340343Z","Index Options","06-01-2025","18493612","56347060","8864691.44","15936.49"
"2025-03-28T07:29:12.340343Z","Index Options","07-01-2025","51283740","247908629","38779589.88","22747.65"
"2025-03-28T07:29:12.341340Z","Index Options","08-01-2025","3924186","8827156","1384510.88","5025.04"
"2025-03-28T07:29:12.341340Z","Index Options","09-01-2025","3384333","8298457","1300336.04","3543.33"
"2025-03-28T07:29:12.341340Z","Index Options","10-01-2025","11744350","35425892","5504215.50","11555.23"
"2025-03-28T07:29:12.341340Z","Index Options","13-01-2025","18620900","60070326","9245292.63","14596.27"
"2025-03-28T07:29:12.342338Z","Index Options","14-01-2025","43275940","217902005","33417113.31","17279.61"
"2025-03-28T07:29:12.342338Z","Index Options","15-01-2025","2783696","6290080","966316.80","3279.38"
"2025-03-28T07:29:12.342338Z","Index Options","16-01-2025","2625473","6493837","1001259.89","2764.26"
"2025-03-28T07:29:12.342338Z","Index Options","17-01-2025","9670910","27700723","4250950.45","10204.16"
"2025-03-28T07:29:12.342338Z","Index Options","20-01-2025","15119444","47915498","7352836.16","12327.36"
"2025-03-28T07:29:12.343336Z","Index Options","21-01-2025","65830243","240307295","36621987.02","41716.70"
"2025-03-28T07:29:12.343336Z","Index Options","22-01-2025","4524887","13475317","1035579.87","3975.07"
"2025-03-28T07:29:12.343336Z","Index Options","23-01-2025","3484563","11034306","850104.01","2581.61"
"2025-03-28T07:29:12.343336Z","Index Options","24-01-2025","13017610","48551567","3730652.90","9441.08"
"2025-03-28T07:29:12.343336Z","Index Options","27-01-2025","21282895","88585020","6749825.69","12253.85"
"2025-03-28T07:29:12.344332Z","Index Options","28-01-2025","74572446","445045444","34142170.30","26151.85"
"2025-03-28T07:29:12.344332Z","Index Options","29-01-2025","1361337","2575006","397413.45","2471.13"
"2025-03-28T07:29:12.344332Z","Index Options","30-01-2025","1492086","3047376","471264.56","2655.98"
"2025-03-28T07:29:12.344332Z","Index Options","31-01-2025","4075284","9613845","1490114.91","6371.28"
"2025-03-28T07:29:12.344332Z","Index Options","01-02-2025","13832142","35270255","5483747.26","12291.87"
"2025-03-28T07:29:13.103110Z","Index Futures","01-01-2025","91","97","7.26","0.05"
"2025-03-28T07:29:13.103110Z","Index Futures","02-01-2025","118","120","9.10","0.06"
"2025-03-28T07:29:13.104107Z","Index Futures","03-01-2025","108","110","8.15","0.04"
"2025-03-28T07:29:13.104107Z","Index Futures","06-01-2025","106","106","8.30","0.09"
"2025-03-28T07:29:13.104107Z","Index Futures","07-01-2025","44","44","3.17","0.02"
"2025-03-28T07:29:13.105117Z","Index Futures","08-01-2025","118","118","8.82","0.05"
"2025-03-28T07:29:13.105117Z","Index Futures","09-01-2025","125","128","8.85","0.09"
"2025-03-28T07:29:13.105117Z","Index Futures","10-01-2025","54","54","4.08","0.06"
"2025-03-28T07:29:13.106101Z","Index Futures","13-01-2025","243","261","16.23","0.24"
"2025-03-28T07:29:13.106101Z","Index Futures","14-01-2025","233","236","15.06","0.20"
"2025-03-28T07:29:13.106101Z","Index Futures","15-01-2025","280","318","19.67","0.29"
"2025-03-28T07:29:13.106101Z","Index Futures","16-01-2025","307","311","20.27","0.45"
"2025-03-28T07:29:13.106101Z","Index Futures","17-01-2025","250","256","16.71","0.26"
"2025-03-28T07:29:13.107099Z","Index Futures","20-01-2025","178","179","11.57","0.18"
"2025-03-28T07:29:13.107099Z","Index Futures","21-01-2025","152","158","10.27","0.19"
"2025-03-28T07:29:13.107099Z","Index Futures","22-01-2025","201","203","13.67","0.20"
"2025-03-28T07:29:13.107099Z","Index Futures","23-01-2025","240","247","16.13","0.22"
"2025-03-28T07:29:13.108097Z","Index Futures","24-01-2025","201","207","13.50","0.12"
"2025-03-28T07:29:13.108097Z","Index Futures","27-01-2025","188","188","13.09","0.21"
"2025-03-28T07:29:13.108097Z","Index Futures","28-01-2025","154","158","11.51","0.19"
"2025-03-28T07:29:13.108097Z","Index Futures","29-01-2025","172","172","12.71","0.20"
"2025-03-28T07:29:13.108097Z","Index Futures","30-01-2025","76","76","5.30","0.04"
"2025-03-28T07:29:13.109095Z","Index Futures","31-01-2025","63","68","4.69","0.06"
"2025-03-28T07:29:13.109095Z","Index Futures","01-02-2025","69","73","5.02","0.04"
"2025-03-28T07:29:14.063124Z","Index Options","01-01-2025","91","97","7.26","0.05"
"2025-03-28T07:29:14.063124Z","Index Options","02-01-2025","118","120","9.10","0.06"
"2025-03-28T07:29:14.063124Z","Index Options","03-01-2025","108","110","8.15","0.04"
"2025-03-28T07:29:14.064123Z","Index Options","06-01-2025","106","106","8.30","0.09"
"2025-03-28T07:29:14.064123Z","Index Options","07-01-2025","44","44","3.17","0.02"
"2025-03-28T07:29:14.064123Z","Index Options","08-01-2025","118","118","8.82","0.05"
"2025-03-28T07:29:14.064123Z","Index Options","09-01-2025","125","128","8.85","0.09"
"2025-03-28T07:29:14.065120Z","Index Options","10-01-2025","54","54","4.08","0.06"
"2025-03-28T07:29:14.065120Z","Index Options","13-01-2025","243","261","16.23","0.24"
"2025-03-28T07:29:14.066118Z","Index Options","14-01-2025","233","236","15.06","0.20"
"2025-03-28T07:29:14.067114Z","Index Options","15-01-2025","280","318","19.67","0.29"
"2025-03-28T07:29:14.068112Z","Index Options","16-01-2025","307","311","20.27","0.45"
"2025-03-28T07:29:14.068112Z","Index Options","17-01-2025","250","256","16.71","0.26"
"2025-03-28T07:29:14.069109Z","Index Options","20-01-2025","178","179","11.57","0.18"
"2025-03-28T07:29:14.069109Z","Index Options","21-01-2025","152","158","10.27","0.19"
"2025-03-28T07:29:14.069109Z","Index Options","22-01-2025","201","203","13.67","0.20"
"2025-03-28T07:29:14.069109Z","Index Options","23-01-2025","240","247","16.13","0.22"
"2025-03-28T07:29:14.070106Z","Index Options","24-01-2025","201","207","13.50","0.12"
"2025-03-28T07:29:14.070106Z","Index Options","27-01-2025","188","188","13.09","0.21"
"2025-03-28T07:29:14.070106Z","Index Options","28-01-2025","154","158","11.51","0.19"
"2025-03-28T07:29:14.070106Z","Index Options","29-01-2025","172","172","12.71","0.20"
"2025-03-28T07:29:14.071103Z","Index Options","30-01-2025","76","76","5.30","0.04"
"2025-03-28T07:29:14.071103Z","Index Options","31-01-2025","63","68","4.69","0.06"
"2025-03-28T07:29:14.071103Z","Index Options","01-02-2025","69","73","5.02","0.04"
"2025-03-28T07:29:16.434671Z","Index Futures","01-02-2025","1364","1784","277.34","0.00"
"2025-03-28T07:29:16.434671Z","Index Futures","03-02-2025","976","1333","205.84","0.00"
"2025-03-28T07:29:16.434671Z","Index Futures","04-02-2025","2595","4214","658.09","0.00"
"2025-03-28T07:29:16.435668Z","Index Futures","05-02-2025","562","700","110.10","0.00"
"2025-03-28T07:29:16.435668Z","Index Futures","06-02-2025","444","527","82.49","0.00"
"2025-03-28T07:29:16.435668Z","Index Futures","07-02-2025","892","1164","181.75","0.00"
"2025-03-28T07:29:16.435668Z","Index Futures","10-02-2025","935","1446","224.40","0.00"
"2025-03-28T07:29:16.435668Z","Index Futures","11-02-2025","1723","3223","494.49","0.00"
"2025-03-28T07:29:16.436665Z","Index Futures","12-02-2025","825","1192","182.29","0.00"
"2025-03-28T07:29:16.436665Z","Index Futures","13-02-2025","570","838","128.91","0.00"
"2025-03-28T07:29:16.436665Z","Index Futures","14-02-2025","894","1368","208.03","0.00"
"2025-03-28T07:29:16.436665Z","Index Futures","17-02-2025","852","1460","221.74","0.00"
"2025-03-28T07:29:16.436665Z","Index Futures","18-02-2025","1642","2892","439.32","0.00"
"2025-03-28T07:29:16.436665Z","Index Futures","19-02-2025","744","955","145.55","0.00"
"2025-03-28T07:29:16.437662Z","Index Futures","20-02-2025","408","571","87.08","0.00"
"2025-03-28T07:29:16.437662Z","Index Futures","21-02-2025","798","1181","180.65","0.00"
"2025-03-28T07:29:16.437662Z","Index Futures","24-02-2025","1016","1555","232.54","0.00"
"2025-03-28T07:29:16.437662Z","Index Futures","25-02-2025","1937","3461","518.47","0.00"
"2025-03-28T07:29:16.437662Z","Index Futures","27-02-2025","272","409","61.25","0.00"
"2025-03-28T07:29:16.438659Z","Index Futures","28-02-2025","1394","2273","335.71","0.00"
"2025-03-28T07:29:16.969765Z","Index Options","01-02-2025","13832142","35270255","5483747.26","12291.87"
"2025-03-28T07:29:16.970764Z","Index Options","03-02-2025","15966329","50239542","7763931.38","11236.05"
"2025-03-28T07:29:16.970764Z","Index Options","04-02-2025","57377117","225517365","35208871.83","34593.64"
"2025-03-28T07:29:16.970764Z","Index Options","05-02-2025","2108442","4803128","756818.01","2666.76"
"2025-03-28T07:29:16.970764Z","Index Options","06-02-2025","2526114","5964855","935970.53","2788.06"
"2025-03-28T07:29:16.971759Z","Index Options","07-02-2025","10887379","30700819","4798837.37","10346.69"
"2025-03-28T07:29:16.971759Z","Index Options","10-02-2025","13977787","45811849","7116702.65","11185.60"
"2025-03-28T07:29:16.971759Z","Index Options","11-02-2025","60889272","279412299","42880229.96","27158.69"
"2025-03-28T07:29:16.972757Z","Index Options","12-02-2025","5322939","12280973","1870691.06","6023.79"
"2025-03-28T07:29:16.972757Z","Index Options","13-02-2025","4452540","10127289","1552642.39","4673.79"
"2025-03-28T07:29:16.972757Z","Index Options","14-02-2025","13243547","36278599","5523693.49","13033.27"
"2025-03-28T07:29:16.972757Z","Index Options","17-02-2025","18925298","54852154","8337481.29","15748.29"
"2025-03-28T07:29:16.973755Z","Index Options","18-02-2025","54896314","244439172","37135506.88","27747.01"
